timestamp : 0, symbol : AMETHYSTS, alpha : 69, mid : 10003.0, bid : 10002, bid_amt : 1, ask : 10004, ask_amt : -2, 
timestamp : 700, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 23, ask : 10005, ask_amt : -23, 
timestamp : 700, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 2, ask : 5003, ask_amt : -23,
timestamp : 800, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 800, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 30, ask : 5003, ask_amt : -1,
timestamp : 900, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 900, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 23, ask : 5003, ask_amt : -1,
timestamp : 1000, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 26, ask : 10005, ask_amt : -26, 
timestamp : 1000, symbol : STARFRUIT, alpha : 69, mid : 4998.5, bid : 4996, bid_amt : 26, ask : 5001, ask_amt : -6,
timestamp : 1100, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 1100, symbol : STARFRUIT, alpha : 69, mid : 5001.0, bid : 4998, bid_amt : 6, ask : 5004, ask_amt : -26,
timestamp : 1200, symbol : AMETHYSTS, alpha : 69, mid : 9996.5, bid : 9995, bid_amt : 21, ask : 9998, ask_amt : -1, 
timestamp : 1200, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4997, bid_amt : 21, ask : 5002, ask_amt : -8,
timestamp : 1300, symbol : AMETHYSTS, alpha : 69, mid : 10003.0, bid : 10002, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 1300, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 31, ask : 5003, ask_amt : -1,
timestamp : 1400, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 1400, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 3, ask : 5003, ask_amt : -26,
timestamp : 1500, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 27, ask : 10005, ask_amt : -27, 
timestamp : 1500, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4996, bid_amt : 27, ask : 5003, ask_amt : -27,
timestamp : 1600, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 29, ask : 10005, ask_amt : -29, 
timestamp : 1600, symbol : STARFRUIT, alpha : 69, mid : 4998.5, bid : 4996, bid_amt : 29, ask : 5001, ask_amt : -4,
timestamp : 1700, symbol : AMETHYSTS, alpha : 69, mid : 9999.0, bid : 9996, bid_amt : 2, ask : 10002, ask_amt : -1, 
timestamp : 1700, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4997, bid_amt : 22, ask : 5002, ask_amt : -8,
timestamp : 1800, symbol : AMETHYSTS, alpha : 69, mid : 10003.0, bid : 10002, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 1800, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 1, ask : 5003, ask_amt : -23,
timestamp : 1900, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 1900, symbol : STARFRUIT, alpha : 69, mid : 4999.0, bid : 4997, bid_amt : 1, ask : 5001, ask_amt : -5,
timestamp : 2000, symbol : AMETHYSTS, alpha : 69, mid : 9997.0, bid : 9996, bid_amt : 2, ask : 9998, ask_amt : -1, 
timestamp : 2000, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4996, bid_amt : 26, ask : 5003, ask_amt : -26,
timestamp : 2100, symbol : AMETHYSTS, alpha : 69, mid : 9999.0, bid : 9996, bid_amt : 2, ask : 10002, ask_amt : -3, 
timestamp : 2100, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 2, ask : 5003, ask_amt : -27,
timestamp : 2200, symbol : AMETHYSTS, alpha : 69, mid : 10001.0, bid : 9998, bid_amt : 8, ask : 10004, ask_amt : -1, 
timestamp : 2200, symbol : STARFRUIT, alpha : 69, mid : 4999.0, bid : 4997, bid_amt : 1, ask : 5001, ask_amt : -7,
timestamp : 2300, symbol : AMETHYSTS, alpha : 69, mid : 10001.0, bid : 9998, bid_amt : 7, ask : 10004, ask_amt : -2, 
timestamp : 2300, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 32, ask : 5003, ask_amt : -2,
timestamp : 2400, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 29, ask : 10005, ask_amt : -29, 
timestamp : 2400, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 28, ask : 5004, ask_amt : -29,
timestamp : 2500, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 2500, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 3, ask : 5003, ask_amt : -23,
timestamp : 2600, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 23, ask : 10005, ask_amt : -23, 
timestamp : 2600, symbol : STARFRUIT, alpha : 69, mid : 5001.0, bid : 4998, bid_amt : 3, ask : 5004, ask_amt : -23,
timestamp : 2700, symbol : AMETHYSTS, alpha : 69, mid : 10001.5, bid : 9998, bid_amt : 6, ask : 10005, ask_amt : -26, 
timestamp : 2700, symbol : STARFRUIT, alpha : 69, mid : 5001.5, bid : 4998, bid_amt : 26, ask : 5005, ask_amt : -26,
timestamp : 2800, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 25, ask : 10005, ask_amt : -25, 
timestamp : 2800, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 25, ask : 5004, ask_amt : -25,
timestamp : 2900, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 2900, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4996, bid_amt : 26, ask : 5003, ask_amt : -26,
timestamp : 3000, symbol : AMETHYSTS, alpha : 69, mid : 10001.5, bid : 9998, bid_amt : 1, ask : 10005, ask_amt : -26, 
timestamp : 3000, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 3, ask : 5003, ask_amt : -26,
timestamp : 3100, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 3100, symbol : STARFRUIT, alpha : 69, mid : 4998.5, bid : 4996, bid_amt : 26, ask : 5001, ask_amt : -5,
timestamp : 3200, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 3200, symbol : STARFRUIT, alpha : 69, mid : 4998.5, bid : 4996, bid_amt : 23, ask : 5001, ask_amt : -3,
timestamp : 3300, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 3300, symbol : STARFRUIT, alpha : 69, mid : 4999.0, bid : 4997, bid_amt : 2, ask : 5001, ask_amt : -2,
timestamp : 3400, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 3400, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 26, ask : 5003, ask_amt : -2,
timestamp : 3500, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 26, ask : 10005, ask_amt : -26, 
timestamp : 3500, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 26, ask : 5004, ask_amt : -26,
timestamp : 3600, symbol : AMETHYSTS, alpha : 69, mid : 9996.5, bid : 9995, bid_amt : 21, ask : 9998, ask_amt : -4, 
timestamp : 3600, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 21, ask : 5004, ask_amt : -21,
timestamp : 3700, symbol : AMETHYSTS, alpha : 69, mid : 10003.0, bid : 10002, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 3700, symbol : STARFRUIT, alpha : 69, mid : 5001.0, bid : 4998, bid_amt : 3, ask : 5004, ask_amt : -24,
timestamp : 3800, symbol : AMETHYSTS, alpha : 69, mid : 9999.0, bid : 9996, bid_amt : 2, ask : 10002, ask_amt : -10, 
timestamp : 3800, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 25, ask : 5004, ask_amt : -25,
timestamp : 3900, symbol : AMETHYSTS, alpha : 69, mid : 10001.0, bid : 9998, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 3900, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4998, bid_amt : 2, ask : 5003, ask_amt : -1,
timestamp : 4000, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 4000, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 32, ask : 5003, ask_amt : -2,
timestamp : 4100, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 4100, symbol : STARFRUIT, alpha : 69, mid : 5000.0, bid : 4997, bid_amt : 29, ask : 5003, ask_amt : -2,
timestamp : 4200, symbol : AMETHYSTS, alpha : 69, mid : 9999.0, bid : 9996, bid_amt : 2, ask : 10002, ask_amt : -4, 
timestamp : 4200, symbol : STARFRUIT, alpha : 69, mid : 5001.0, bid : 4998, bid_amt : 2, ask : 5004, ask_amt : -26,
timestamp : 4300, symbol : AMETHYSTS, alpha : 69, mid : 9996.5, bid : 9995, bid_amt : 22, ask : 9998, ask_amt : -1, 
timestamp : 4300, symbol : STARFRUIT, alpha : 69, mid : 4999.0, bid : 4998, bid_amt : 7, ask : 5000, ask_amt : -5,
timestamp : 4400, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 30, ask : 10005, ask_amt : -30, 
timestamp : 4400, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 30, ask : 5004, ask_amt : -30,
timestamp : 4500, symbol : AMETHYSTS, alpha : 69, mid : 9999.0, bid : 9996, bid_amt : 1, ask : 10002, ask_amt : -10, 
timestamp : 4500, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4996, bid_amt : 28, ask : 5003, ask_amt : -29,
timestamp : 4600, symbol : AMETHYSTS, alpha : 69, mid : 9999.0, bid : 9996, bid_amt : 1, ask : 10002, ask_amt : -10, 
timestamp : 4600, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 30, ask : 5004, ask_amt : -30,
timestamp : 4700, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 4700, symbol : STARFRUIT, alpha : 69, mid : 4997.5, bid : 4997, bid_amt : 32, ask : 4998, ask_amt : -7,
timestamp : 4800, symbol : AMETHYSTS, alpha : 69, mid : 10001.0, bid : 9998, bid_amt : 6, ask : 10004, ask_amt : -2, 
timestamp : 4800, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 24, ask : 5004, ask_amt : -24,
timestamp : 4900, symbol : AMETHYSTS, alpha : 69, mid : 9998.5, bid : 9995, bid_amt : 22, ask : 10002, ask_amt : -7, 
timestamp : 4900, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4996, bid_amt : 22, ask : 5003, ask_amt : -22,
timestamp : 5000, symbol : AMETHYSTS, alpha : 69, mid : 10001.0, bid : 9998, bid_amt : 3, ask : 10004, ask_amt : -2, 
timestamp : 5000, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 30, ask : 5004, ask_amt : -30,
timestamp : 5100, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 5100, symbol : STARFRUIT, alpha : 69, mid : 5001.0, bid : 4998, bid_amt : 7, ask : 5004, ask_amt : -31,
timestamp : 5200, symbol : AMETHYSTS, alpha : 69, mid : 10001.0, bid : 9998, bid_amt : 9, ask : 10004, ask_amt : -1, 
timestamp : 5200, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4998, bid_amt : 8, ask : 5003, ask_amt : -1,
timestamp : 5300, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 5300, symbol : STARFRUIT, alpha : 69, mid : 5003.0, bid : 5002, bid_amt : 1, ask : 5004, ask_amt : -21,
timestamp : 5400, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 21, ask : 10005, ask_amt : -21, 
timestamp : 5400, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4997, bid_amt : 21, ask : 5002, ask_amt : -6,
timestamp : 5500, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 27, ask : 10005, ask_amt : -27, 
timestamp : 5500, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 27, ask : 5004, ask_amt : -27,
timestamp : 5600, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 28, ask : 10005, ask_amt : -28, 
timestamp : 5600, symbol : STARFRUIT, alpha : 69, mid : 5003.5, bid : 5002, bid_amt : 2, ask : 5005, ask_amt : -28,
timestamp : 5700, symbol : AMETHYSTS, alpha : 69, mid : 10001.5, bid : 9998, bid_amt : 2, ask : 10005, ask_amt : -27, 
timestamp : 5700, symbol : STARFRUIT, alpha : 69, mid : 5002.5, bid : 4999, bid_amt : 26, ask : 5006, ask_amt : -27,
timestamp : 5800, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 5800, symbol : STARFRUIT, alpha : 69, mid : 5002.5, bid : 4999, bid_amt : 31, ask : 5006, ask_amt : -31,
timestamp : 5900, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 5900, symbol : STARFRUIT, alpha : 69, mid : 5002.5, bid : 5000, bid_amt : 5, ask : 5005, ask_amt : -2,
timestamp : 6000, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 30, ask : 10005, ask_amt : -30, 
timestamp : 6000, symbol : STARFRUIT, alpha : 69, mid : 5001.5, bid : 4998, bid_amt : 30, ask : 5005, ask_amt : -30,
timestamp : 6100, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 6100, symbol : STARFRUIT, alpha : 69, mid : 5002.0, bid : 4999, bid_amt : 24, ask : 5005, ask_amt : -1,
timestamp : 6200, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 6200, symbol : STARFRUIT, alpha : 69, mid : 5002.0, bid : 4999, bid_amt : 22, ask : 5005, ask_amt : -1,
timestamp : 6300, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 6300, symbol : STARFRUIT, alpha : 69, mid : 5002.0, bid : 4999, bid_amt : 7, ask : 5005, ask_amt : -25,
timestamp : 6400, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 6400, symbol : STARFRUIT, alpha : 69, mid : 5002.0, bid : 4999, bid_amt : 1, ask : 5005, ask_amt : -25,
timestamp : 6500, symbol : AMETHYSTS, alpha : 69, mid : 9997.0, bid : 9996, bid_amt : 1, ask : 9998, ask_amt : -1, 
timestamp : 6500, symbol : STARFRUIT, alpha : 69, mid : 5002.0, bid : 4999, bid_amt : 27, ask : 5005, ask_amt : -1,
timestamp : 6600, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 6600, symbol : STARFRUIT, alpha : 69, mid : 5001.5, bid : 4998, bid_amt : 26, ask : 5005, ask_amt : -26,
timestamp : 6700, symbol : AMETHYSTS, alpha : 69, mid : 9998.5, bid : 9995, bid_amt : 20, ask : 10002, ask_amt : -3, 
timestamp : 6700, symbol : STARFRUIT, alpha : 69, mid : 5002.0, bid : 4999, bid_amt : 7, ask : 5005, ask_amt : -20,
timestamp : 6800, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 6800, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4997, bid_amt : 32, ask : 5002, ask_amt : -8,
timestamp : 6900, symbol : AMETHYSTS, alpha : 69, mid : 9999.0, bid : 9996, bid_amt : 1, ask : 10002, ask_amt : -5, 
timestamp : 6900, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4997, bid_amt : 27, ask : 5002, ask_amt : -1,
timestamp : 7000, symbol : AMETHYSTS, alpha : 69, mid : 10001.5, bid : 9998, bid_amt : 2, ask : 10005, ask_amt : -27, 
timestamp : 7000, symbol : STARFRUIT, alpha : 69, mid : 5003.0, bid : 5002, bid_amt : 4, ask : 5004, ask_amt : -27,
timestamp : 7100, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 7100, symbol : STARFRUIT, alpha : 69, mid : 5001.5, bid : 4998, bid_amt : 30, ask : 5005, ask_amt : -30,
timestamp : 7200, symbol : AMETHYSTS, alpha : 69, mid : 10001.0, bid : 9998, bid_amt : 5, ask : 10004, ask_amt : -1, 
timestamp : 7200, symbol : STARFRUIT, alpha : 69, mid : 5001.5, bid : 4998, bid_amt : 28, ask : 5005, ask_amt : -28,
timestamp : 7300, symbol : AMETHYSTS, alpha : 69, mid : 10003.0, bid : 10002, bid_amt : 1, ask : 10004, ask_amt : -2, 
timestamp : 7300, symbol : STARFRUIT, alpha : 69, mid : 5001.0, bid : 4998, bid_amt : 6, ask : 5004, ask_amt : -31,
timestamp : 7400, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 7400, symbol : STARFRUIT, alpha : 69, mid : 5001.0, bid : 4998, bid_amt : 22, ask : 5004, ask_amt : -1,
timestamp : 7500, symbol : AMETHYSTS, alpha : 69, mid : 9998.5, bid : 9995, bid_amt : 25, ask : 10002, ask_amt : -10, 
timestamp : 7500, symbol : STARFRUIT, alpha : 69, mid : 5001.5, bid : 4998, bid_amt : 25, ask : 5005, ask_amt : -25,
timestamp : 7600, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 7600, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 22, ask : 5004, ask_amt : -22,
timestamp : 7700, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 22, ask : 10005, ask_amt : -22, 
timestamp : 7700, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 21, ask : 5004, ask_amt : -22,
timestamp : 7800, symbol : AMETHYSTS, alpha : 69, mid : 10001.0, bid : 9998, bid_amt : 3, ask : 10004, ask_amt : -1, 
timestamp : 7800, symbol : STARFRUIT, alpha : 69, mid : 5001.0, bid : 4998, bid_amt : 1, ask : 5004, ask_amt : -23,
timestamp : 7900, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 7900, symbol : STARFRUIT, alpha : 69, mid : 5001.5, bid : 4999, bid_amt : 4, ask : 5004, ask_amt : -1,
timestamp : 8000, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 27, ask : 10005, ask_amt : -27, 
timestamp : 8000, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4998, bid_amt : 27, ask : 5003, ask_amt : -8,
timestamp : 8100, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 8100, symbol : STARFRUIT, alpha : 69, mid : 5001.0, bid : 4998, bid_amt : 23, ask : 5004, ask_amt : -1,
timestamp : 8200, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 23, ask : 10005, ask_amt : -23, 
timestamp : 8200, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4997, bid_amt : 23, ask : 5002, ask_amt : -1,
timestamp : 8300, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 8300, symbol : STARFRUIT, alpha : 69, mid : 5001.5, bid : 4998, bid_amt : 30, ask : 5005, ask_amt : -30,
timestamp : 8400, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9995, bid_amt : 28, ask : 10005, ask_amt : -28, 
timestamp : 8400, symbol : STARFRUIT, alpha : 69, mid : 5001.5, bid : 4998, bid_amt : 28, ask : 5005, ask_amt : -28,
timestamp : 8500, symbol : AMETHYSTS, alpha : 69, mid : 10001.0, bid : 9998, bid_amt : 10, ask : 10004, ask_amt : -2, 
timestamp : 8500, symbol : STARFRUIT, alpha : 69, mid : 5001.0, bid : 4998, bid_amt : 2, ask : 5004, ask_amt : -31,
timestamp : 8600, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 8600, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 22, ask : 5004, ask_amt : -23,
timestamp : 8700, symbol : AMETHYSTS, alpha : 69, mid : 10001.5, bid : 9998, bid_amt : 10, ask : 10005, ask_amt : -27, 
timestamp : 8700, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4997, bid_amt : 27, ask : 5002, ask_amt : -4,
timestamp : 8800, symbol : AMETHYSTS, alpha : 69, mid : 9996.5, bid : 9995, bid_amt : 25, ask : 9998, ask_amt : -1, 
timestamp : 8800, symbol : STARFRUIT, alpha : 69, mid : 5001.0, bid : 4998, bid_amt : 7, ask : 5004, ask_amt : -25,
timestamp : 8900, symbol : AMETHYSTS, alpha : 69, mid : 10001.5, bid : 9998, bid_amt : 9, ask : 10005, ask_amt : -26, 
timestamp : 8900, symbol : STARFRUIT, alpha : 69, mid : 5002.0, bid : 4999, bid_amt : 1, ask : 5005, ask_amt : -26,
timestamp : 9000, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 9000, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 31, ask : 5004, ask_amt : -31,
timestamp : 9100, symbol : AMETHYSTS, alpha : 69, mid : 10001.0, bid : 9998, bid_amt : 3, ask : 10004, ask_amt : -2, 
timestamp : 9100, symbol : STARFRUIT, alpha : 69, mid : 5001.5, bid : 4998, bid_amt : 29, ask : 5005, ask_amt : -29,
timestamp : 9200, symbol : AMETHYSTS, alpha : 69, mid : 10001.5, bid : 9998, bid_amt : 10, ask : 10005, ask_amt : -27, 
timestamp : 9200, symbol : STARFRUIT, alpha : 69, mid : 4999.5, bid : 4997, bid_amt : 27, ask : 5002, ask_amt : -7,
timestamp : 9300, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 9300, symbol : STARFRUIT, alpha : 69, mid : 5001.0, bid : 4998, bid_amt : 21, ask : 5004, ask_amt : -1,
timestamp : 9400, symbol : AMETHYSTS, alpha : 69, mid : 10001.0, bid : 9998, bid_amt : 2, ask : 10004, ask_amt : -2, 
timestamp : 9400, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 23, ask : 5004, ask_amt : -23,
timestamp : 9500, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 9500, symbol : STARFRUIT, alpha : 69, mid : 5001.0, bid : 4998, bid_amt : 4, ask : 5004, ask_amt : -31,
timestamp : 9600, symbol : AMETHYSTS, alpha : 69, mid : 10000.0, bid : 9996, bid_amt : 1, ask : 10004, ask_amt : -1, 
timestamp : 9600, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 31, ask : 5004, ask_amt : -31,
timestamp : 9700, symbol : AMETHYSTS, alpha : 69, mid : 9998.5, bid : 9995, bid_amt : 22, ask : 10002, ask_amt : -1, 
timestamp : 9700, symbol : STARFRUIT, alpha : 69, mid : 5000.5, bid : 4997, bid_amt : 22, ask : 5004, ask_amt : -22,
